OBJECTID	FEATUREID	TotalDrainageAreaSqKM
359	823747	2.3175
360	823779	2.1006
361	823780	0.9054
362	823789	1.6911
363	823809	1.9215
364	823819	1.314
365	823843	2.4498
366	823844	450.2385
367	823881	58.9437
368	823882	2.0835
369	823913	33.1884
370	823914	3.375
371	823937	22.0338
372	823938	1.7208
373	823959	2.169
374	823960	3.6846
375	823961	0.9468
376	823962	0.8955
377	823968	18.9288
378	823976	20.0376
379	823977	3.9474
380	824018	5.0463
381	824019	0.8199
382	824026	475.2873
383	824038	11.3913
384	824039	6.8895
385	824062	0.8856
386	824069	62.4114
387	824092	5.0841
388	824093	476.568
389	824129	38.457
390	824167	24.8742
391	824202	1.8927
392	824203	1.5966
393	824204	482.454
394	824205	48.4245
395	824206	3.7161
396	824217	3.0924
397	824218	0.8829
398	824219	6.8823
399	824220	82.1907
400	824225	6.8382
401	824258	85.3128
402	824276	52.3719
403	824283	54.8082
404	824284	59.4036
405	824294	66.6828
406	824295	2.151
407	824360	1.2195
408	824371	1.0926
409	824372	9.3312
410	824392	1.3131
411	824402	1.6443
412	824417	7.6869
413	824428	3.9483
414	824437	87.6717
415	824438	1.4193
416	824439	1.9395
417	824446	92.0259
418	824495	97.4583
419	824496	3.7962
420	824501	70.1037
421	824528	3.5298
422	824529	1.0791
423	824534	7.5186
424	824555	2.3508
425	824556	3.924
426	824606	4.8825
427	824607	90.5994
428	824629	0.8496
429	824646	2.9358
430	824650	102.6036
431	824651	2.3841
432	824672	0.9324
433	824679	2.7549
434	824690	9.4338
435	824695	0.9837
436	824704	2.2662
437	824705	486.99
438	824711	491.9886
439	824717	3.9186
440	824718	105.5232
441	824719	0.9846
442	824741	81.0351
443	824742	1.5255
444	824752	1.773
445	824753	1.8846
446	824754	1.9476
447	824759	82.8639
448	824760	493.3836
449	824761	5.5089
450	824762	106.6284
451	824769	3.168
452	824770	1.2456
453	824820	2.2338
454	824861	2.1582
455	824862	97.0668
456	824863	5.7789
457	824949	1.206
458	824950	103.0986
459	824959	0.9774
460	825003	3.1014
461	825004	1.296
462	825005	112.7637
463	825006	1.9998
464	825076	4.3785
465	825100	1.1592
466	825101	104.8212
467	825191	5.067
468	825192	1.0728
469	825216	580.7799
470	825217	3.0069
471	825218	1.2492
472	825225	1.1601
473	825235	1.5498
474	825236	1.4472
475	825269	1.2024
476	825279	116.3754
477	825320	2.6604
478	825327	5.9463
479	825328	10.9782
480	825329	3.2751
481	825338	583.9029
482	825358	1.9908
483	825373	4.4505
484	825374	17.7012
485	825375	108.6075
486	825391	1.0323
487	825392	2.8062
488	825399	1.2879
489	825405	110.2527
490	825406	2.6046
491	825472	1.2339
492	825491	119.6154
493	825492	1.476
494	825519	7.686
495	825531	2.7747
496	825552	1.4553
497	825553	601.9596
498	825561	10.521
499	825562	4.8492
500	825563	4.4091
501	825576	1.2879
502	825589	114.7239
503	825590	1.1457
504	825635	3.2499
505	825666	12.0105
506	825667	1.0746
507	825689	1.7721
508	825725	604.0836
509	825726	4.671
510	825738	4.0266
511	825749	0.936
512	825750	608.2497
513	825758	117.2862
514	825763	1.3167
515	825764	1.782
516	825765	10.5696
517	825774	3.9501
518	825834	31.6125
519	825835	32.9733
520	825836	44.613
521	825837	3.0591
522	825844	1.3473
523	825874	14.7411
524	825881	47.7972
525	825925	0.7533
526	825926	3.447
527	825932	2.781
528	825933	24.0525
529	825980	125.7282
530	825981	1.4481
531	825988	0.9054
532	826008	610.4502
533	826027	52.3872
534	826028	4.4631
535	826029	5.9931
536	826051	1.2645
537	826052	1.0413
538	826062	1.1088
539	826080	2.475
540	826081	1.8324
541	826082	8.9028
542	826083	4.3758
543	826090	2.394
544	826123	2.2752
545	826134	612.7371
546	826163	126.0171
547	826171	20.5938
548	826172	3.0717
549	826196	57.5586
550	826197	1.5741
551	826200	3.7548
552	826208	1.2465
553	826209	61.4097
554	826210	129.8277
555	826216	128.8341
556	826217	1.6992
557	826245	5.2146
558	826246	0.8631
559	826261	60.1623
560	826265	9.9684
561	826299	5.8212
562	826300	133.2441
563	826312	0.8073
564	826322	1.3545
565	826331	14.2434
566	826346	3.7683
567	826347	5.9751
568	826348	2.4867
569	826361	131.0544
570	826371	15.5592
571	826372	8.8281
572	826376	1.4409
573	826393	1.5246
574	826394	13.4559
575	826432	8.7975
576	826504	2.0889
577	826525	77.5584
578	826536	616.806
579	826548	3.8394
580	826555	15.4449
581	826556	2.214
582	826578	20.3508
583	826579	1.701
584	826588	2.7351
585	826597	6.8049
586	826598	10.4958
587	826599	79.1208
588	826600	139.9977
589	826619	2.3247
590	826651	2.6874
591	826652	30.7917
592	826653	1.4697
593	826666	23.4873
594	826667	2.9799
595	826668	11.0169
596	826669	1.5282
597	826687	3.15
598	826697	2.3184
599	826698	1.413
600	826726	2.3211
601	826738	0.7704
602	826754	0.7857
603	826769	1.674
604	826770	3.5415
605	826776	28.0413
606	826805	5.6718
607	826806	13.4352
608	826807	13.0005
609	826808	2.8431
610	826854	1.9908
611	826867	1.5066
612	826868	1.0233
613	826915	2.2104
614	826926	19.5021
615	826927	1.944
616	826987	1.4661
617	826988	4.8807
618	827000	1.4436
619	827015	5.8878
620	827016	2.7369
621	827017	17.6238
622	827018	16.2909
623	827071	2.0331
624	827081	221.6781
625	827082	3.1428
626	827120	1.0881
627	827121	8.1288
628	827146	19.4706
629	827147	1.1457
630	827158	137.4129
631	827196	4.2822
632	827211	2.7423
633	827212	23.7915
634	827216	225.1161
635	827233	1.7073
636	827246	2.1699
637	827247	651.6684
638	827248	3.3759
639	827264	1.7298
640	827265	1.305
641	827273	0.8019
642	827274	157.3938
643	827301	1.7046
644	827309	1.7055
645	827310	1.4508
646	827318	11.4903
647	827327	1.9341
648	827328	26.7705
649	827329	10.431
650	827338	9.8946
651	827349	1.3167
652	827350	229.0815
653	827353	0.9792
654	827354	0.8424
655	827355	21.4317
656	827360	2.3814
657	827392	1.2636
658	827393	158.5044
659	827403	14.1714
660	827404	16.6086
661	827415	0.8865
